FID,geom,id,nome,tipo,oferta,inep,endereco,numero,bairro,cod_bairro,CEP,territorio,distrito,sefor,regional,telefone,email,UTM_E,UTM_N,fonte,ano_ref,espg_codif
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_647f,POINT (-38.508826383739915 -3.8550811952624118),1,MÁRIO ALENCAR,EEEP,M,23323434,RUA VERDE 44,97,JANGURUSSU,61,60876-670,32,6,2,SR9,3275-6593,MARIOALENCAR@ESCOLA.CE.GOV.BR,554533.14,9573875.53,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6480,POINT (-38.61051905216192 -3.785680100782341),2,ÍCARO DE SOUSA MOREIRA,EEEP,M,23323426,RUA JOSÉ MARTINS,2246,GRANJA LISBOA,78,60540-545,39,5,3,SR5,3101-7749,ADAILTONSOU@YAHOO.COM.BR,543245.87,9581552.78,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6481,POINT (-38.49360690174827 -3.767732539419239),3,JOHNSON,EEMTI,M,23069546,RUA DOUTORA SOCORRO AZEVEDO,S/N,LUCIANO CAVALCANTE,58,60810-400,24,2,2,SR7,3101-6153,JOHNSON@ESCOLA.CE.GOV.BR,556228.62,9583529.99,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6482,POINT (-38.58221968010756 -3.70098932777709),4,PAULO PETROLA,EEEP,M,23323418,RUA SALDARIA,S/N,BARRA DO CEARÁ,6,60330-320,3,1,1,SR1,3238-6592,PAULOPETROLA@ESCOLA.CE.GOV.BR,546392.59,9590912.85,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6483,POINT (-38.60403611586051 -3.8083016624508774),5,SÃO FRANCISCO DE ASSIS,EEM,M,23233168,RUA SÃO FELIPE,S/N,CANINDEZINHO,72,60731-020,34,5,3,SR10,3101-6112,SFASSISCAN@ESCOLA.CE.GOV.BR,543964.57,9579051.93,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6484,POINT (-38.47149174722098 -3.790598012465965),6,JOÃO NOGUEIRA JUCÁ,EEMTI,M,23252294,RUA JOSÉ FÉLIX DE LIMA,313,SAPIRANGA/COITÉ,64,60876-670,25,2,2,SR7,3101-2159,JNJUCA@ESCOLA.CE.GOV.BR,558682.76,9581001.00,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6485,POINT (-38.49444019227163 -3.8304322345601958),7,MILTON CUNHA,CEJA,F2/M,23236582,RUA PADRE PEDRO DE ALENCAR,328,MESSEJANA,65,60840-280,28,6,1,SR6,3101-2075,CEJAMILTONCUNHA@ESCOLA.CE.GOV.BR,556132.04,9576599.27,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6486,POINT (-38.61781530496388 -3.785560542270304),8,MICHELSON NOBRE DA SILVA,EEM,M,23233893,RUA OSCAR ARARIPE,3037,GRANJA LISBOA,78,60876-670,39,5,3,SR5,3101-6120,MICHELSON@ESCOLA.CE.GOV.BR,542435.73,9581566.36,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6487,POINT (-38.56993302827378 -3.8325940639001206),9,LICEU PROFESSOR DOMINGOS BRASILEIRO,EEM,M,23272058,RUA PLANALTINA,S/N,PLANALTO AYRTON SENNA,116,60760-480,21,4,3,SR8,3473-6597,LICEUPANTANAL@ESCOLA.CE.GOV.BR,547749.82,9576364.88,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6488,POINT (-38.58982451585813 -3.800267592648233),10,SÃO JOSÉ,EEM,M,23264985,RUA DESEMBARGADOR FROTA,397,PARQUE SÃO JOSÉ,86,60730-270,34,5,3,SR10,3101-3046,SAOJOSE@ESCOLA.CE.GOV.BR,545542.95,9579939.26,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6489,POINT (-38.55832645381446 -3.8346221678702266),11,JOSÉ WALTER,CEJA,F2/M,23225262,AVENIDA L,1101,PREFEITO JOSÉ WALTER,89,60750-110,21,4,1,SR8,3101-2990,CEJAJWALTER@ESCOLA.CE.GOV.BR,549038.39,9576140.04,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
