FID,id,The_geom,tipo,distrito,regional,territóri,codpmf,codsge,inep,título,nome,endereço,bairro,cep,telefone,voips,email,textstring,text_size,text_angle,fonte,ano_ref,epsg_codif
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_676e,1,POINT (-38.510244280132135 -3.8565140959288895),CEI,6,9,32,8510,1034,23073535,CENTRO DE EDUCAÇÃO INFANTIL,PEDRO FERREIRA MESQUITA,"VIA PROJETADA 4, S/N (RES. LUIZ GONZAGA)",JANGURUSSU,60877-523,NADA CONSTA,NADA CONSTA,NADA CONSTA,8510,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_6772,2,POINT (-38.52829999673801 -3.7725999647265094),CEI,4,4,18,8509,1032,23262605,CENTRO DE EDUCAÇÃO INFANTIL,PETRONILLA ISONNI,"AV. LAURO VIEIRA CHAVES, S/N",AEROPORTO,60422-700,NADA CONSTA,NADA CONSTA,NADA CONSTA,8509,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_6775,3,POINT (-38.491290023354765 -3.772430038727229),CEI,2,7,24,8506,1033,23257482,CENTRO DE EDUCAÇÃO INFANTIL,ESMERINDA SOARES DA SILVA,"RUA AURISTELA MAIA FARIAS, S/N",ENGENHEIRO LUCIANO CAVALCANTE,60811-100,NADA CONSTA,NADA CONSTA,NADA CONSTA,8506,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_6777,4,POINT (-38.5857928954175 -3.832786134320745),CEI,5,10,34,8508,1036,23234067,CENTRO DE EDUCAÇÃO INFANTIL,MARIA FÉLIX RODRIGUES,"AV C, S/N (CONJ. ARACAPÉ)",ARACAPÉ,60765-052,NADA CONSTA,NADA CONSTA,NADA CONSTA,8508,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_677a,5,POINT (-38.59008315640965 -3.783470129094077),CEI,5,5,39,8507,1037,23065311,CENTRO DE EDUCAÇÃO INFANTIL,MARIA ROSA DE ALMEIDA,"RUA SOUSA CARVALHO, 625",BONSUCESSO,60541-646,NADA CONSTA,NADA CONSTA,NADA CONSTA,8507,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_677c,6,POINT (-38.587661900095064 -3.7990370518715024),ANE,5,10,34,8505,1041,23070960,ESCOLA MUNICIPAL,HENRIQUETA GALENO UNID II,"RUA DOM XISTO ALBANO, 1852",PARQUE SÃO JOSÉ,60730-225,NADA CONSTA,NADA CONSTA,NADA CONSTA,8505,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_677f,7,POINT (-38.554174709517405 -3.822938588892831),CEI,4,8,21,8488,990,23070056,CENTRO DE EDUCAÇÃO INFANTIL,FRANCISCO SALES FERNANDES,"AVENIDA K, S/N",PREFEITO JOSÉ WALTER,60750-100,NADA CONSTA,NADA CONSTA,NADA CONSTA,8488,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_6781,8,POINT (-38.560943298735545 -3.792145037830504),CEI,4,8,19,8484,1016,23078030,CENTRO DE EDUCAÇÃO INFANTIL,VEREADOR FRANCISCO ANTÔNIO MARTINS NOGUEIRA,"RUA RAIMUNDO PINHEIRO, S/N",DENDÊ,60710-706,NADA CONSTA,NADA CONSTA,NADA CONSTA,8484,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_6783,9,POINT (-38.616605977253684 -3.786193962687009),CRP,5,5,39,8504,1027,23073144,CRECHE PARCEIRA,TIA HELENA,"RUA OSCAR FRANÇA, 2904",GRANJA LISBOA,60540-374,NADA CONSTA,NADA CONSTA,NADA CONSTA,8504,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_6785,10,POINT (-38.56774199061608 -3.838446988580023),CRP,4,8,21,8503,1026,23257334,CRECHE PARCEIRA,PRIMEIROS PASSINHOS,"RUA PALMEIRAS, 1159",PLANALTO AYRTON SENNA,60766-410,NADA CONSTA,NADA CONSTA,NADA CONSTA,8503,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_6787,11,POINT (-38.597500853715175 -3.756486500194177),CRP,3,11,37,8502,1025,23546026,CRECHE PARCEIRA,TIA NINÔ,"RUA PROFESSOR VIRGÍLIO MORAIS, 851",AUTRAN NUNES,60526-720,NADA CONSTA,NADA CONSTA,NADA CONSTA,8502,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_678a,12,POINT (-38.59705396680763 -3.7502459695215777),CRP,3,11,37,8501,1021,23065680,CRECHE PARCEIRA,CONTRUINDO O SABER,"RUA DESEMBARGADOR FELISMINO, 219",AUTRAN NUNES,60526-760,NADA CONSTA,NADA CONSTA,NADA CONSTA,8501,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_678c,13,POINT (-38.55413903627763 -3.7452730357854795),CEI,3,3,14,8483,1015,23257750,CENTRO DE EDUCAÇÃO INFANTIL,VEREADOR FRANCISCO EURIVÁ MATIAS,"RUA FREI MARCELINO, S/N",RODOLFO TEÓFILO,60431-006,NADA CONSTA,NADA CONSTA,NADA CONSTA,8483,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_678f,14,POINT (-38.551686686266926 -3.7506891030034386),CRP,3,3,14,8287,795,23250550,CRECHE PARCEIRA,NOSSA SENHORA DO LÍBANO,"RUA PASTOR SAMUEL MUNGUBA, 1431",RODOLFO TEÓFILO,60430-372,NADA CONSTA,NADA CONSTA,NADA CONSTA,8287,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_6793,15,POINT (-38.60668736806111 -3.8083354174521262),CRP,5,5,39,7907,561,23227419,CRECHE PARCEIRA,CRIANÇA ESPERANÇA,"RUA DIVINA, 130",SIQUEIRA,60736-120,NADA CONSTA,NADA CONSTA,NADA CONSTA,7907,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_6795,16,POINT (-38.59797462997655 -3.796393841900757),CRP,5,5,39,7899,530,23271540,CRECHE PARCEIRA,HOTELZINHO ESPAÇO DA CRIANÇA,"RUA NOVA CONQUISTA, 406",BOM JARDIM,60543-355,NADA CONSTA,NADA CONSTA,HOTELZINHO.ESPACO@ESCOLA.SME.FORTALEZA.CE.GOV.BR,7899,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_6796,17,POINT (-38.56860414067197 -3.749023383460157),CRP,3,11,36,7445,574,23189681,CRECHE PARCEIRA,PARAÍSO,"RUA BENJAMIN CONSTANT, 497",PICI,60441-410,NADA CONSTA,NADA CONSTA,CRPARAISO@ESCOLA.SME.FORTALEZA.CE.GOV.BR,7445,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_6797,18,POINT (-38.60456916444208 -3.7202133364496426),CRP,1,1,2,8090,547,23257873,CRECHE PARCEIRA,OLHAR DO SABER - VÓ FRANCY,"RUA PAULO XENOFONTE, 1037",VILA VELHA,60345-156,NADA CONSTA,NADA CONSTA,NADA CONSTA,8090,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_6798,19,POINT (-38.504777965977766 -3.860995032604825),CRP,6,9,33,8019,523,23244291,CRECHE PARCEIRA,ARCA DOS SONHOS,"RUA FLORESTA, 180",ANCURI,60874-160,NADA CONSTA,NADA CONSTA,NADA CONSTA,8019,10,0,SME,2022,EPSG: 3198
