FID,id,the_geom,nome,nome_pop,fonte,anoref,epsg_codif,bairro,cod_bairro,area m2
vw_PracasFortaleza.fid--16360be6_188532c53aa_7190,120,"MULTIPOLYGON (((-38.51495114819062 -3.7267880962762368, -38.51481749387003 -3.7268316008905527, -38.51479291552432 -3.726849883424501, -38.51479032819745 -3.72687828158977, -38.51483421995959 -3.7270046093925275, -38.51485317977055 -3.727026060278715, -38.51488119039757 -3.7270247138739876, -38.5150198814362 -3.7269780725615465, -38.51503533013088 -3.726954728387335, -38.51503675840611 -3.726934256442267, -38.51500105152516 -3.726820470514967, -38.514982007855316 -3.726794761560686, -38.51495114819062 -3.7267880962762368)))",Praça Visconde de Pelotas,Praça do Mercado dos Pinhões,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Centro,10,518.21
vw_PracasFortaleza.fid--16360be6_188532c53aa_7191,124,"MULTIPOLYGON (((-38.52637582441308 -3.7251800870543854, -38.526006745859206 -3.725301918699598, -38.52606921375791 -3.725509663160507, -38.52644414658789 -3.7253891980256957, -38.52637582441308 -3.7251800870543854)))",Largo do Mercado,Praça dos Correios,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Centro,10,1049.77
vw_PracasFortaleza.fid--16360be6_188532c53aa_7192,162,"MULTIPOLYGON (((-38.57265812675215 -3.7228192065057018, -38.57267246776238 -3.7227833403332617, -38.5723926481528 -3.722398171374108, -38.57187911318497 -3.7234246144510825, -38.571881837717775 -3.723481710672663, -38.57239775451827 -3.724344879846276, -38.5726923787012 -3.724811055069495, -38.57288856066922 -3.725059708288299, -38.57316074082476 -3.7245172907852147, -38.57318998835747 -3.7244813409135635, -38.57315858679171 -3.7243771377219144, -38.573137370664874 -3.7242471391696372, -38.57305806035003 -3.72415681931796, -38.57294953516107 -3.724091737955085, -38.57284437054186 -3.7240591649078087, -38.572775418577415 -3.724059164782412, -38.572597509091054 -3.7241206859744063, -38.57252132516304 -3.724109830698995, -38.572448888261654 -3.7239758958253337, -38.572412699627264 -3.7238527324905477, -38.572401875549104 -3.7237729937748054, -38.572412848962735 -3.723671464596979, -38.57242004534694 -3.7235953960558246, -38.572427262263425 -3.7235447017019423, -38.572492046278974 -3.7230204903108657, -38.572517177582654 -3.72293058583019, -38.57258218332919 -3.7228659611373276, -38.57265812675215 -3.7228192065057018)))",Calçadão da Rua Frei Odilon,Praça da Lagoa do Urubu,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Floresta,17,14102.47
vw_PracasFortaleza.fid--16360be6_188532c53aa_7193,184,"MULTIPOLYGON (((-38.56061997889084 -3.7162086156035343, -38.560667981599224 -3.7162313986662303, -38.560719991185174 -3.7162150912384293, -38.56073873730925 -3.716174156979429, -38.56100156236839 -3.716087752476511, -38.56092798816051 -3.715984188810388, -38.56091640725156 -3.7159460391076413, -38.560909978551585 -3.7158988529315664, -38.56076160621642 -3.715826969902842, -38.56073761231998 -3.7158695987217363, -38.56068318722299 -3.7158860405105605, -38.56060131359845 -3.715884459494137, -38.560515609451684 -3.7158771238383754, -38.56061997889084 -3.7162086156035343)), ((-38.560772476241134 -3.7166671824194273, -38.56081118649618 -3.71669101640666, -38.56087303345358 -3.7166556704761904, -38.56095863975209 -3.716588593529632, -38.56101925397037 -3.716588988069435, -38.561088383355745 -3.716433129197694, -38.56106388934961 -3.7164030899102607, -38.56106199819495 -3.716264820861373, -38.56104162295218 -3.7162504774325655, -38.560802711137164 -3.716333729078447, -38.56075781703461 -3.7163194024976702, -38.56069002530564 -3.7163390022031644, -38.56067884022254 -3.7163771607348814, -38.560772476241134 -3.7166671824194273)))",Praça Antônio Alves Linhares,Praça do Mercado do Carlito Pamplona,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Álvaro Weyne,3,2793.57
vw_PracasFortaleza.fid--16360be6_188532c53aa_7194,100,"MULTIPOLYGON (((-38.52633711841674 -3.726483793112564, -38.525961101807475 -3.7265918113467174, -38.52593676834248 -3.7266305636310193, -38.525965202794886 -3.726875065268687, -38.52599162073794 -3.7273003594703953, -38.526521742802714 -3.7271204682330716, -38.52633711841674 -3.726483793112564)))",Praça General Tiburcio,Praça dos Leões,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Centro,10,4012.15
vw_PracasFortaleza.fid--16360be6_188532c53aa_7195,102,"MULTIPOLYGON (((-38.525009540720404 -3.723658614396706, -38.524961253709165 -3.723642152917397, -38.52476137905067 -3.7237538921567483, -38.52474406551243 -3.723784848278294, -38.52474818146284 -3.723815575594942, -38.52493711022025 -3.7241546536892423, -38.52508182923741 -3.7245145261839245, -38.52513135570759 -3.724539852335274, -38.52525421128622 -3.7244946587797916, -38.52540585574671 -3.7244423228996126, -38.52542465411686 -3.7244047829664364, -38.52518951958928 -3.7239922337364835, -38.525009540720404 -3.723658614396706)))",Praça da Sé,Praça Pedro II,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Centro,10,3432.43
vw_PracasFortaleza.fid--16360be6_188532c53aa_7196,103,"MULTIPOLYGON (((-38.5270238869139 -3.7227625735851326, -38.52681719277647 -3.722149814093513, -38.52560937597748 -3.722557643621034, -38.525811954935 -3.723190576201909, -38.5270238869139 -3.7227625735851326)))",Praça dos Mártires,Passeio Público,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Centro,10,10307.13
vw_PracasFortaleza.fid--16360be6_188532c53aa_7197,105,"MULTIPOLYGON (((-38.533730798370065 -3.7251401911065085, -38.53279228309908 -3.7254484723764523, -38.532775025244185 -3.7254735302233075, -38.53277148727772 -3.7255011604065107, -38.53289622440034 -3.7259123004666246, -38.53292074288636 -3.7259300730732527, -38.53294701203804 -3.7259306463713946, -38.53388741569958 -3.7256076624340726, -38.533904242788175 -3.7255794475641744, -38.53377150827628 -3.7251497636704376, -38.533730798370065 -3.7251401911065085)))",Praça Capistrano de Abreu,Praça da Lagoinha,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Centro,10,6489.17
vw_PracasFortaleza.fid--16360be6_188532c53aa_7198,106,"MULTIPOLYGON (((-38.530593627144356 -3.7227336411541314, -38.530295572704944 -3.7218624612072952, -38.53025465576562 -3.7218169466733064, -38.530190150592986 -3.7218028135639223, -38.52947522918311 -3.722033731000629, -38.529431327009114 -3.7220752181541066, -38.52942698949711 -3.7221385651897876, -38.5294375511293 -3.7222115890230443, -38.52963807592022 -3.7229300699339967, -38.52966396626644 -3.7229822461237267, -38.52970870218623 -3.723009567542798, -38.52977001379212 -3.7230021815001013, -38.530593627144356 -3.7227336411541314)))",Praça Castro Carreira,Praça da Estação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Centro,10,11641.06
vw_PracasFortaleza.fid--16360be6_188532c53aa_7199,108,"MULTIPOLYGON (((-38.52653588034845 -3.728886487352266, -38.52633243238052 -3.728864502063166, -38.5262422283817 -3.7296387921269676, -38.52644336437254 -3.729659044114542, -38.52653588034845 -3.728886487352266)))",Praça dos Voluntários,Praça da Polícia,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Centro,10,1945.58
