FID,id,The_geom,name,nome,bairro,uh_entregu,uh_previst,ano_entreg,uh_por ano,executor,parceiros,demanda,origem,programa,recurso,ano_ref,data_atual,fonte,epsg_codif,cod_bairro,regional,territorio
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_69f0,1,"MULTIPOLYGON (((-38.571762961799635 -3.714104710567411, -38.57140419248245 -3.714676194312563, -38.571164026295484 -3.7148100951143084, -38.571094629677226 -3.7149924100787834, -38.57114678105299 -3.7151211926962264, -38.57202217788134 -3.7147796039613112, -38.571762961799635 -3.714104710567411)))",P001,Maria José Gomes (Reassentamento Açude João Lopes),Álvaro Weyne,80,Sem informação,2011,Sem Informação,PMF/HABITAFOR,Sem informação,PMF,Entorno açude João Lopes,Sem Informação,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,3,SER 1,6
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_69f1,2,"MULTIPOLYGON (((-38.576711968822835 -3.7240708325530387, -38.57609924688356 -3.723769963075636, -38.57595795300727 -3.7240130345660365, -38.576346422518505 -3.724208495819308, -38.576190591359634 -3.724457889645422, -38.576985218438914 -3.724762900472537, -38.576711968822835 -3.7240708325530387)))",P003,Reassentamento Urubu,Floresta,88,64,2011;2012;2013;2020,2011 (20UH);2012 (24UH);2013; (24UH);2020 (20UH),PMF/HABITAFOR,Sem informação,PMF,Sem informação,Sem Informação,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,17,SER 1,6
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_69f2,7,"MULTIPOLYGON (((-38.5256358173447 -3.831971346140342, -38.524991634938814 -3.833652991954934, -38.525408317886054 -3.8338792614299337, -38.52609831476572 -3.8344910466870106, -38.527529291183335 -3.8359675589546622, -38.52858419972212 -3.8350547734557194, -38.528685692219405 -3.834640983400125, -38.52824080258227 -3.83419235252151, -38.526833980561044 -3.8325860429072116, -38.5256358173447 -3.831971346140342)))",P007,São Cristovão (Lotes remanescentes),Jangurussu,12,Sem informação,2012,Sem Informação,PMF/HABITAFOR,Sem informação,PMF,Sem informação,Sem Informação,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,61,SER 9,32
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_69f3,11,"MULTIPOLYGON (((-38.617011588272156 -3.7794020395330037, -38.61688414221302 -3.7788174665067253, -38.61570850920999 -3.7791376400563075, -38.61578092115867 -3.7794384859992256, -38.61568521467495 -3.779465667029828, -38.61564837327214 -3.779576063281781, -38.615708138487186 -3.7797875137258345, -38.617011588272156 -3.7794020395330037)))",P012,Independência II,Granja Lisboa,240,Sem informação,2014; 2015,2014 (49UH); 2015 (191 (UH),ESTADO,Sem informação,ESTADO,Sem informação,PMCMV,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,78,SER 5,39
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_69f4,17,"MULTIPOLYGON (((-38.513509759252706 -3.879745009889991, -38.52064828177161 -3.8730938788138496, -38.51520656097023 -3.871182778964858, -38.51164967130638 -3.8740058476466066, -38.513509759252706 -3.879745009889991)))",P018,Alameda das Palmeiras (Modulo 1 e Modulo 2),Pedras,4992,Sem informação,2016; 2018,2016 (2032UH); 2018 (2960 UH),PMF/HABITAFOR,Sem informação,PMF,Sem informação,PMCMV,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,69,SER 9,33
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_69f5,3,"MULTIPOLYGON (((-38.57504446728129 -3.7137004205847606, -38.574336499891544 -3.7116791667462072, -38.573359360896724 -3.7120132842030484, -38.57411202540387 -3.7140259477245534, -38.57504446728129 -3.7137004205847606)))",P002,Conjunto Padre Hélio Campos (Reassentamento Vila do Mar),Floresta,264,Sem informação,2011,Sem Informação,PMF/HABITAFOR,Sem informação,PMF,Sem informação,Sem Informação,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,17,SER 1,6
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_69f6,4,"MULTIPOLYGON (((-38.57612797084169 -3.7030973679022336, -38.57516860199081 -3.703556671811231, -38.57550506304338 -3.70438016269195, -38.5759608117949 -3.7042050114298584, -38.57601487188231 -3.704329378484231, -38.57652323131483 -3.704038051311489, -38.57612797084169 -3.7030973679022336)))",P004,Santo Agostinho,Barra do Ceará,232,Sem informação,2011,Sem Informação,PMF,Sem informação,PMF,Sem informação,PMCMV,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,6,SER 1,3
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_69f7,5,"MULTIPOLYGON (((-38.604630844933915 -3.7179342920318414, -38.60330729451012 -3.7187282616890163, -38.603507894193946 -3.719074740461581, -38.604821809628525 -3.7182941814843757, -38.604630844933915 -3.7179342920318414)))",P005,Turmalina,Vila Velha,120,Sem informação,2011,Sem Informação,PMF,Sem informação,PMF,Sem informação,PMCMV,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,39,SER 1,2
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_69f8,6,"MULTIPOLYGON (((-38.510528875149724 -3.8342645377219213, -38.50906494599954 -3.83459683044519, -38.50946042719025 -3.834937713917309, -38.51072150273778 -3.8346621269108065, -38.51072521384069 -3.8345879469324853, -38.510528875149724 -3.8342645377219213)))",P006,São Domingos,Jangurussu,120,Sem informação,2013,Sem Informação,PMF,Sem informação,PMF,Sem informação,PMCMV,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,61,SER 9,32
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_69f9,8,"MULTIPOLYGON (((-38.54215771831931 -3.7963355958459517, -38.54211914737641 -3.7963096640604665, -38.54211948759924 -3.7962870851826533, -38.54207425672131 -3.7962743455873733, -38.541492316735535 -3.7963308819873345, -38.54139264624132 -3.796407509141657, -38.54222719882138 -3.7973462914831018, -38.54227021384548 -3.7973322797142064, -38.54215771831931 -3.7963355958459517)))",P009,São Bernando,Parque Dois Irmãos,80,Sem informação,2012,Sem Informação,PMF,Sem informação,PMF,Sem informação,PMCMV,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,84,SER 8,20
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_69fa,9,"MULTIPOLYGON (((-38.567114775937036 -3.829002996184821, -38.566664306232006 -3.8283861113246305, -38.56643281809619 -3.8285460516961587, -38.56620844997499 -3.8286025573497335, -38.56544420694105 -3.829150979312724, -38.565988914415804 -3.8298210162175277, -38.567114775937036 -3.829002996184821)))",P010,Monte Líbano,Mondubim,256,Sem informação,2012,Sem Informação,PMF,Sem informação,PMF,Sem informação,PMCMV,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,83,SER 10,35
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_69fb,10,"MULTIPOLYGON (((-38.61720780431049 -3.7800892566649336, -38.61703921621903 -3.779510242686981, -38.61572758319787 -3.779874967675062, -38.61586879776134 -3.780460918853888, -38.61720780431049 -3.7800892566649336)))",P011,Independência I,Granja Lisboa,168,Sem informação,2012,Sem Informação,PMF,Sem informação,PMF,Sem informação,PMCMV,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,78,SER 5,39
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_69fc,12,"MULTIPOLYGON (((-38.51474931585432 -3.8553467151086878, -38.51373186775338 -3.8527239264390536, -38.50910706039602 -3.8545605903962628, -38.50958895307693 -3.8558281651863524, -38.510044842828606 -3.8557392618603057, -38.51026211482506 -3.8562491586476653, -38.511465102061884 -3.8561410824598483, -38.51474931585432 -3.8553467151086878)))",P013,Aldemir,Jangurussu,612,Sem informação,2015,Sem Informação,ESTADO,Sem informação,ESTADO,Sem informação,PMCMV,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,61,SER 9,32
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_69fd,13,"MULTIPOLYGON (((-38.574911069205214 -3.7113299480904267, -38.57468358091139 -3.7105438575080467, -38.57411672102958 -3.7107163669210057, -38.574386805657 -3.7115133805934972, -38.574911069205214 -3.7113299480904267)))",P014,Vila do Mar – Conjunto Padre Caetano,Barra do Ceará,84,Sem informação,2014,Sem Informação,PMF/HABITAFOR,Sem informação,PMF,Sem informação,Sem Informação,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,6,SER 1,3
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_69fe,22,"MULTIPOLYGON (((-38.520956772249846 -3.8548511546417505, -38.519145091340555 -3.8505053505071296, -38.51512758172646 -3.8521332592577555, -38.516855328883814 -3.856491380892821, -38.520956772249846 -3.8548511546417505)))",P023,José Euclides (etapa 1 e etapa 2),Jangurussu,2992,Sem informação,2017;2018,2017 (2048 UH);2018 (944 UH),ESTADO/HABITAFOR,Sem informação,PMF (818 UH); ESTADO (2174 UH),Sem informação,PMCMV,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,61,SER 9,32
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_69ff,25,"MULTIPOLYGON (((-38.45668357661212 -3.7722621249947244, -38.45731682874358 -3.7732980579810507, -38.45674960164238 -3.77363718735609, -38.45517339907139 -3.7727344346319276, -38.45503827071748 -3.7729051580303135, -38.45507948868935 -3.7734922357475575, -38.454898915642524 -3.7736655326555266, -38.45483332398808 -3.7738537290698884, -38.45404075101453 -3.774568898290743, -38.453329831895 -3.7747149248979834, -38.45288827276847 -3.775005476093821, -38.45272899496495 -3.7753486454616256, -38.45280538706915 -3.775752858086528, -38.45939630487199 -3.77217313557516, -38.45866394209475 -3.770866344882027, -38.45740151564974 -3.770967937675377, -38.457271270641705 -3.7715685853053658, -38.45712795211973 -3.771885395372132, -38.45668357661212 -3.7722621249947244)))",P026,Dendê,Edson Queiroz,1080,Sem informação,2018; 2019; 2020,2018 (600 UH);2019 (246 UH); 2020 (234 UH),ESTADO,Sem informação,ESTADO,Sem informação,PMCMV,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,57,SER 7,25
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_6a00,26,"MULTIPOLYGON (((-38.55226459027191 -3.830558590571806, -38.55001874271917 -3.823587771402354, -38.544996980721955 -3.824505229713068, -38.5411716301479 -3.8252964616655754, -38.54212732048014 -3.8290305664121362, -38.54516513980336 -3.8284906979298547, -38.54600773679824 -3.8325032853581686, -38.55226459027191 -3.830558590571806)))",P027,Cidade Jardim 1,Prefeito José Walter,2944,Sem informação,2015; 2016; 2018,2015 (452 UH); 2016 (1788 UH); 2018 (704 UH),ESTADO/HABITAFOR,Sem informação,PMF(452 UH); ESTADO (2492 UH),Sem informação,PMCMV,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,89,SER 8,21
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_6a01,27,"MULTIPOLYGON (((-38.557075285775475 -3.846869947444758, -38.554928860115105 -3.839055341736487, -38.549400589676 -3.840779534425049, -38.55207835806496 -3.848975601496213, -38.557075285775475 -3.846869947444758)))",P028,Cidade Jardim 2,Prefeito José Walter,5968,Sem informação,2018; 2019,2018 (3984 UH); 2019 (1984 UH),ESTADO/HABITAFOR,Sem informação,PMF (3568UH);ESTADO (2400 UH),Sem informação,PMCMV,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,89,SER 8,21
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_6a02,14,"MULTIPOLYGON (((-38.548406595961794 -3.7117081434842003, -38.548406120529954 -3.7117059256108345, -38.54832901371539 -3.711763080673718, -38.5483709257567 -3.711850984608128, -38.548453481155285 -3.7118037565459745, -38.548406595961794 -3.7117081434842003)))",P015,Casa dos Pescadores,Pirambu,6,Sem informação,2015,Sem Informação,PMF/HABITAFOR,Sem informação,PMF,Sem informação,Sem Informação,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,31,SER 1,4
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_6a03,15,"MULTIPOLYGON (((-38.46785280173128 -3.8232293965542916, -38.46791974989914 -3.823019090465584, -38.46790526679928 -3.822985017587893, -38.46748819580633 -3.8230406317368977, -38.46749702824933 -3.82328347712403, -38.46785280173128 -3.8232293965542916)))",P016,Morada Nova,Lagoa Redonda,24,Sem informação,2016,Sem Informação,FUNDAÇÃO JOAO PAZ MENDONÇA (OUC PAPICU),HABITAFOR,PMF,Demanda fechada,Sem Informação,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,63,SER 6,29
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_6a04,16,"MULTIPOLYGON (((-38.49254743081206 -3.8509943390750405, -38.4921943687727 -3.8510737056805078, -38.49183321816987 -3.849554110043024, -38.489622957312235 -3.8495267974371443, -38.48963676337278 -3.849786167156474, -38.488491695682754 -3.8498685625281124, -38.488648495924515 -3.8546319099881043, -38.48985763564464 -3.854453636929941, -38.48973814711708 -3.8526841809771235, -38.49222564498952 -3.8524494182026605, -38.49254743081206 -3.8509943390750405)))",P017,Escritores (Raquel de Queiroz; Monteiro Lobato; Graciliano Ramos; Jorge Amado; Carlos Dumont Andrade; Castro Alves; Machado de Assis; Jose de Alencar),Paupina,1920,Sem informação,2016,Sem Informação,ESTADO,HABITAFOR,PMF (888 UH); ESTADO (1032 UH),Sem informação,PMCMV,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,68,SER 6,30
vw_ProducaoHabitacional2011a2021.fid--16360be6_1884ec8ee50_6a05,18,"MULTIPOLYGON (((-38.55782865361477 -3.7065431019474047, -38.55776371097552 -3.706361903283627, -38.55752451030091 -3.7065154879285407, -38.55756441268656 -3.7066370343404706, -38.557684643641984 -3.7065841815166354, -38.557704082938514 -3.7065779217255326, -38.55782865361477 -3.7065431019474047)))",P019,Vila dos Pescadores 1,Cristo Redentor,12,Sem informação,2016,Sem Informação,PMF/HABITAFOR,Sem informação,PMF,Sem informação,Sem Informação,,2022,04/10/2022,HABITAFOR,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,12,SER 1,4
