FID,geom,id,descricao,tipo,extensao,fonte,ano_ref,datum_codf,data_criac
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58d4,"MULTILINESTRING ((-38.50632234350327 -3.7229506010615223, -38.50645871185203 -3.723299950542166, -38.506816399410255 -3.724403754847499, -38.5073502134515 -3.7260134913201823, -38.50788502484663 -3.7276406376999174))",1,Galeria,Drenagem geral,546.96,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58d1,"MULTILINESTRING ((-38.56693668753255 -3.717064990234125, -38.56727603854127 -3.7179503822886963, -38.56612058027525 -3.718358378504377, -38.56654129779877 -3.7196115199909743))",2,Galeria,Drenagem geral,387.207,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58cf,"MULTILINESTRING ((-38.566363746841866 -3.7192355004378865, -38.56431356428051 -3.7198788864120247, -38.56403248102853 -3.7201075941290944))",3,Galeria,Drenagem geral,278.783,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58cd,"MULTILINESTRING ((-38.56431356428051 -3.7198788864120247, -38.56409276716791 -3.7193350648275225, -38.56252587654868 -3.7180052130456738, -38.562023211736424 -3.7185083996415766, -38.56133977375843 -3.7188101210241173, -38.56103831004066 -3.7178179565310105, -38.56089801259078 -3.717296504612567))",4,Galeria,Drenagem geral,629.007,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58cb,"MULTILINESTRING ((-38.58167714254835 -3.771818571820549, -38.581467665997394 -3.7714025214899785, -38.58231847010312 -3.7702557584802467, -38.581581231280126 -3.768884550316743, -38.58393479515208 -3.7676176602162283))",5,Galeria,Drenagem geral,678.64,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58c9,"MULTILINESTRING ((-38.54765542305388 -3.7537302491061584, -38.54175567048062 -3.7472457671940624))",6,Galeria,Drenagem geral,971.419,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58c7,"MULTILINESTRING ((-38.55707397851817 -3.723772179340962, -38.55656018136128 -3.72569032642543, -38.55685076488559 -3.7257418589399687, -38.55659311234929 -3.727651431465297))",7,Galeria,Drenagem geral,465.52,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58c5,"MULTILINESTRING ((-38.55999394086374 -3.7225004733490192, -38.560710547264414 -3.7226851249491393, -38.56098701538684 -3.721612962723887, -38.56335399618283 -3.722276617797141, -38.56462513911919 -3.722603682680561))",8,Galeria,Drenagem geral,623.406,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58c3,"MULTILINESTRING ((-38.56335399618283 -3.722276617797141, -38.563961057017714 -3.720254076010614))",9,Galeria,Drenagem geral,233.596,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58c1,"MULTILINESTRING ((-38.55591226886086 -3.707280101163909, -38.55609617357802 -3.7078881201284957))",10,Galeria,Drenagem geral,70.269,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58c0,"MULTILINESTRING ((-38.52369985114128 -3.717934891508075, -38.52247538269133 -3.7196256041888556, -38.52311075160347 -3.7212683009608054, -38.523990872942 -3.7227739013344103))",11,Galeria,Drenagem geral,619.154,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
