,Bairro,valor_tratado
18,Meireles,134134437.88
19,Mucuripe,24609248.6
22,Praia de Iracema,23502813.01
0,Aldeota,14169329.3
7,Cocó,12632253.7
5,Centro,8829067.709999999
1,Antonio Diogo,2195689.86
26,São João do Tauape,1573578.12
11,Guararapes,1536067.39
8,Dionísio Torres,1240069.42
20,Papicu,1093209.52
10,Fátima,964757.7
4,Cambeba,897715.85
2,Barroso,805244.86
25,Sapiranga,751798.5
17,Luciano Cavalcante,686164.9
21,Parque Iracema,452292.75
12,Itaperi,425727.31
14,Joaquim Távora,359459.05
24,Salinas,355320.95
15,José Bonifácio,349033.32
6,Cidade dos Funcionários,337162.83
23,Presidente Kennedy,310570.76
9,Edson Queiroz,129306.76
16,José de Alencar,72247.5
27,Vicente Pinzon,40485.77
13,Jangurussu,9966.22
3,Cajazeiras,447.3
